Pavadinimas,Nuotraukos URL,Kategorijos
['Perspėja dalies Lietuvos gyventojus: laukia „žiemos reiškinių kompleksas“ '],['https://media.lrytas.lt/images/2024/11/21/141608303-752e57d2-8192-4062-9447-c4977fdeadcb.jpg'],['Gamta']
"['Šis veiksnys kasmet pražudo 2 tūkst. lietuvių: studentai Kaune sukūrė prototipą, kuriuo jį stebėti bus lengviau ']",['https://media.lrytas.lt/images/2024/10/16/090323684-f569dad6-2617-4978-9f2c-fbeb6ab37848.jpg'],['Gamta']
['Kaune užsidegė itin toksiškos medžiagos: gesinti teko smėliu  '],['https://media.lrytas.lt/images/2024/11/21/181635645-17a943a7-826d-4d12-9294-2940dd72f664.jpg'],['Gamta']
['Taifūno aukų skaičius Filipinuose išaugo iki 12 '],['https://media.lrytas.lt/images/2024/11/21/084057395-14bbb878-48c2-4330-82e4-8f36accece01.jpg'],['Gamta']
['Islandijos kaimas evakuotas dėl dar vieno ugnikalnio išsiveržimo '],['https://media.lrytas.lt/images/2024/11/21/064853613-68c4b00e-9d2b-4ca1-a073-c1b272862e03.jpg'],['Gamta']
['Kauniečius neramino naktį ratus sukantis sraigtasparnis: Lietuvos kariuomenė pateikė paaiškinimą '],['https://media.lrytas.lt/images/2024/11/20/130354894-6771addd-bdcd-4424-995a-8afd99f889ac.jpg'],['Bendraukime']
"['Nuo mokytojos darbo labiausiai atgrasė nesuvokiamas tėvų elgesys: „Net papildomi 100–300 eurų nepadėtų“ ', ' (4) ']",['https://media.lrytas.lt/images/2024/11/19/122525243-4872ddce-8553-42e7-a651-1eaacda3495a.jpg'],['Bendraukime']
"['Vokietijoje lietuvis pritrūko žodžių išvydęs ne tik vietinius kiaušinius, bet ir kuro kainas: „Siaubas!“ ', ' (11) ']",['https://media.lrytas.lt/images/2024/11/18/142913827-80ff2847-5187-40b1-b305-d6ef8a1044f4.jpg'],['Bendraukime']
"['Mokslų daktaras kirto užsipuolusiems parlamentarą A. Nedzinską: „Čia ne tik Antano bėda“ ', ' (18) ']",['https://media.lrytas.lt/images/2024/11/15/174400056-d5caf4e0-b89d-414b-8613-df2ec8ea093c.jpg'],['Bendraukime']
"['Čikagoje pedagoge dirbančiai lietuvei, stebint 14-metes paaugles, mintyse kyla tik vienas klausimas ', ' (1) ']",['https://media.lrytas.lt/images/2024/11/15/183135446-86f096fb-ae0c-4dd6-86fe-f5a67df929be.jpg'],['Bendraukime']
"['3 vyrai pagal Zodiako ženklą, nemokantys rodyti švelnumo ']",['https://media.lrytas.lt/images/2024/11/12/101102643-3ef05b74-0603-4fda-9348-6384aa16ce9d.jpg'],['Gyvenimo būdas']
"['Lytinių organų apipjaustymą išgyvenusi moteris papasakojo, kaip viskas vyko: tai buvo baisi giminės išdavystė ']",['https://media.lrytas.lt/images/2024/11/20/134349342-7b74a67e-a29c-4d45-8ae1-4981adb498ee.jpg'],['Gyvenimo būdas']
"['Skaudi asmeninė patirtis, virtusi prasminga misija: keičia gyvenimus per judesį ir palaikymą ']",['https://media.lrytas.lt/images/2024/11/21/123353831-4aecf898-0ac5-49bb-880c-b2620d282df5.jpg'],['Gyvenimo būdas']
['M. Bičiūnaitė senjorus kvietė į kūno ir sielos dialogą: „Nėra amžiaus terapijai“ '],['https://media.lrytas.lt/images/2024/11/21/122314508-a8b39949-0671-4517-af1f-52f2c7b76108.jpg'],['Gyvenimo būdas']
['Palmira: netinka skubėti ar imtis ko nors nepagalvojus '],['https://media.lrytas.lt/images/2024/11/19/140534924-39e17b2a-bd56-4531-afae-d46926abcc2e.jpg'],['Gyvenimo būdas']
['Už išskirtinius nuopelnus vaikų gerovei įteikti šių metų „Geriausio vaiko draugo“ apdovanojimai '],['https://media.lrytas.lt/images/2024/11/21/122629372-f4d29806-4f2e-4cbd-81c3-c1fa2ef2e4bf.jpg'],['Tėvams']
['Hario Poterio gerbėjams – netikėta staigmena '],['https://media.lrytas.lt/images/2024/11/19/155345843-7bbbcb2d-3771-4f92-a98f-7d64a31fb0a9.jpg'],['Tėvams']
['Ekranų laiko ribojimas: patarimai tėvams skirtingiems įrenginiams ir programėlėms '],['https://media.lrytas.lt/images/2024/11/20/111241780-67552274-8919-4f4e-9384-5066b95a45c8.jpg'],['Tėvams']
